cat_vars,labels
b6_19,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b6_20,"100# 101:198# 201:298,302:398#199,299,399# 997#998#999"
b8_01,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_02,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_03,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_04,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_05,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_06,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_07,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_08,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_09,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_10,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_11,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_12,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_13,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_14,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_15,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_16,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_17,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_18,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_19,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
b8_20,0#1#2#3#4#5#6:8#9:11#12:23#24:35#36:41
s220a_01,4#5:6#7:8#9:10
s220a_02,4#5:6#7:8#9:10
s220a_03,4#5:6#7:8#9:10
s220a_04,4#5:6#7:8#9:10
s220a_05,4#5:6#7:8#9:10
s220a_06,4#5:6#7:8#9:10
s220a_07,4#5:6#7:8#9:10
s220a_08,4#5:6#7:8#9:10
s220a_09,4#5:6#7:8#9:10
s220a_10,4#5:6#7:8#9:10
s220a_11,4#5:6#7:8#9:10
s220a_12,4#5:6#7:8#9:10
s220a_13,4#5:6#7:8#9:10
s220a_14,4#5:6#7:8#9:10
s220a_15,4#5:6#7:8#9:10
s220a_16,4#5:6#7:8#9:10
s220a_17,4#5:6#7:8#9:10
s220a_18,4#5:6#7:8#9:10
s220a_19,4#5:6#7:8#9:10
s220a_20,4#5:6#7:8#9:10
m1_1,0#1#2:7# 8# 9
m1_2,0#1#2:7# 8# 9
m1_3,0#1#2:7# 8# 9
m1_4,0#1#2:7# 8# 9
m1_5,0#1#2:7# 8# 9
m1_6,0#1#2:7# 8# 9
m1a_1,0#1#2:7# 8# 9
m1a_2,0#1#2:7# 8# 9
m1a_3,0#1#2:7# 8# 9
m1a_4,0#1#2:7# 8# 9
m1a_5,0#1#2:7# 8# 9
m1a_6,0#1#2:7# 8# 9
m13_1,0:3#4:6#7:11#98#99
m13_2,0:3#4:6#7:11#98#99
m13_3,0:3#4:6#7:11#98#99
m13_4,0:3#4:6#7:11#98#99
m13_5,0:3#4:6#7:11#98#99
m13_6,0:3#4:6#7:11#98#99
m14_1,0#1:3#4:40#98#99
m14_2,0#1:3#4:40#98#99
m14_3,0#1:3#4:40#98#99
m14_4,0#1:3#4:40#98#99
m14_5,0#1:3#4:40#98#99
m14_6,0#1:3#4:40#98#99
m15_1,10:13#20:27#30:33#96#99
m15_2,10:13#20:27#30:33#96#99
m15_3,10:13#20:27#30:33#96#99
m15_4,10:13#20:27#30:33#96#99
m15_5,10:13#20:27#30:33#96#99
m15_6,10:13#20:27#30:33#96#99
m19_1,500:2499#2500:9000#9996#9998#9999
m19_2,500:2499#2500:9000#9996#9998#9999
m19_3,500:2499#2500:9000#9996#9998#9999
m19_4,500:2499#2500:9000#9996#9998#9999
m19_5,500:2499#2500:9000#9996#9998#9999
m19_6,500:2499#2500:9000#9996#9998#9999
m73_1,"10:13#20:25,28#26,27#30:33#96#99"
m73_2,"10:13#20:25,28#26,27#30:33#96#99"
m73_3,"10:13#20:25,28#26,27#30:33#96#99"
m73_4,"10:13#20:25,28#26,27#30:33#96#99"
m73_5,"10:13#20:25,28#26,27#30:33#96#99"
m73_6,"10:13#20:25,28#26,27#30:33#96#99"
h2_1,0#1:3#8#9
h2_2,0#1:3#8#9
h2_3,0#1:3#8#9
h2_4,0#1:3#8#9
h2_5,0#1:3#8#9
h2_6,0#1:3#8#9
h3_1,0#1:3#8#9
h3_2,0#1:3#8#9
h3_3,0#1:3#8#9
h3_4,0#1:3#8#9
h3_5,0#1:3#8#9
h3_6,0#1:3#8#9
h4_1,0#1:3#8#9
h4_2,0#1:3#8#9
h4_3,0#1:3#8#9
h4_4,0#1:3#8#9
h4_5,0#1:3#8#9
h4_6,0#1:3#8#9
h5_1,0#1:3#8#9
h5_2,0#1:3#8#9
h5_3,0#1:3#8#9
h5_4,0#1:3#8#9
h5_5,0#1:3#8#9
h5_6,0#1:3#8#9
h6_1,0#1:3#8#9
h6_2,0#1:3#8#9
h6_3,0#1:3#8#9
h6_4,0#1:3#8#9
h6_5,0#1:3#8#9
h6_6,0#1:3#8#9
h7_1,0#1:3#8#9
h7_2,0#1:3#8#9
h7_3,0#1:3#8#9
h7_4,0#1:3#8#9
h7_5,0#1:3#8#9
h7_6,0#1:3#8#9
h8_1,0#1:3#8#9
h8_2,0#1:3#8#9
h8_3,0#1:3#8#9
h8_4,0#1:3#8#9
h8_5,0#1:3#8#9
h8_6,0#1:3#8#9
h9_1,0#1:3#8#9
h9_2,0#1:3#8#9
h9_3,0#1:3#8#9
h9_4,0#1:3#8#9
h9_5,0#1:3#8#9
h9_6,0#1:3#8#9
h0_1,0#1:3#8#9
h0_2,0#1:3#8#9
h0_3,0#1:3#8#9
h0_4,0#1:3#8#9
h0_5,0#1:3#8#9
h0_6,0#1:3#8#9
h33_1,0#1:3#8#9
h33_2,0#1:3#8#9
h33_3,0#1:3#8#9
h33_4,0#1:3#8#9
h33_5,0#1:3#8#9
h33_6,0#1:3#8#9
h40_1,0#1:3#8#9
h40_2,0#1:3#8#9
h40_3,0#1:3#8#9
h40_4,0#1:3#8#9
h40_5,0#1:3#8#9
h40_6,0#1:3#8#9
h44a_1,"10:19#20:26,31#30#32#33#34:37#96#99"
h44a_2,"10:19#20:26,31#30#32#33#34:37#96#99"
h44a_3,"10:19#20:26,31#30#32#33#34:37#96#99"
h44a_4,"10:19#20:26,31#30#32#33#34:37#96#99"
h44a_5,"10:19#20:26,31#30#32#33#34:37#96#99"
h44a_6,"10:19#20:26,31#30#32#33#34:37#96#99"
h46a_1,"10:19#20:26,31#30#32#33#34:37#96#99"
h46a_2,"10:19#20:26,31#30#32#33#34:37#96#99"
h46a_3,"10:19#20:26,31#30#32#33#34:37#96#99"
h46a_4,"10:19#20:26,31#30#32#33#34:37#96#99"
h46a_5,"10:19#20:26,31#30#32#33#34:37#96#99"
h46a_6,"10:19#20:26,31#30#32#33#34:37#96#99"
hw70_1,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw70_2,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw70_3,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw70_4,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw70_5,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw70_6,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw71_1,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw71_2,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw71_3,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw71_4,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw71_5,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw71_6,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw72_1,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw72_2,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw72_3,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw72_4,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw72_5,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw72_6,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw73_1,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw73_2,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw73_3,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw73_4,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw73_5,-600:-300#-299:0#1:600#9996#9997#9998#9999
hw73_6,-600:-300#-299:0#1:600#9996#9997#9998#9999
s410_1,0:3#4:6#7:9#98
s410_2,0:3#4:6#7:9#98
s410_3,0:3#4:6#7:9#98
s410_4,0:3#4:6#7:9#98
s410_5,0:3#4:6#7:9#98
s410_6,0:3#4:6#7:9#98
s455_1,1:1399#1400#1401:999997#999998
s455_2,1:1399#1400#1401:999997#999998
s455_3,1:1399#1400#1401:999997#999998
s455_4,1:1399#1400#1401:999997#999998
s455_5,1:1399#1400#1401:999997#999998
s455_6,1:1399#1400#1401:999997#999998
s460_1,100#101:124#125:148#150:997#998#999
s460_2,100#101:124#125:148#150:997#998#999
s460_3,100#101:124#125:148#150:997#998#999
s460_4,100#101:124#125:148#150:997#998#999
s460_5,100#101:124#125:148#150:997#998#999
s460_6,100#101:124#125:148#150:997#998#999
s469_1,11:13# 21:28# 31# 41:42#96
s469_2,11:13# 21:28# 31# 41:42#96
s469_3,11:13# 21:28# 31# 41:42#96
s469_4,11:13# 21:28# 31# 41:42#96
s469_5,11:13# 21:28# 31# 41:42#96
s469_6,11:13# 21:28# 31# 41:42#96
hep0_1,0#1:3#8#9
hep0_2,0#1:3#8#9
hep0_3,0#1:3#8#9
hep0_4,0#1:3#8#9
hep0_5,0#1:3#8#9
hep0_6,0#1:3#8#9
hep1_1,0#1:3#8#9
hep1_2,0#1:3#8#9
hep1_3,0#1:3#8#9
hep1_4,0#1:3#8#9
hep1_5,0#1:3#8#9
hep1_6,0#1:3#8#9
hep2_1,0#1:3#8#9
hep2_2,0#1:3#8#9
hep2_3,0#1:3#8#9
hep2_4,0#1:3#8#9
hep2_5,0#1:3#8#9
hep2_6,0#1:3#8#9
hep3_1,0#1:3#8#9
hep3_2,0#1:3#8#9
hep3_3,0#1:3#8#9
hep3_4,0#1:3#8#9
hep3_5,0#1:3#8#9
hep3_6,0#1:3#8#9
s515_1,"11:22#31,41:46#96"
s515_2,"11:22#31,41:46#96"
s515_3,"11:22#31,41:46#96"
s515_4,"11:22#31,41:46#96"
s515_5,"11:22#31,41:46#96"
s515_6,"11:22#31,41:46#96"
